Date,Time,Hour,Day,Day_Number,Month,Month_Number,Latitude,Longitude,Area,Crime_Type,Crime_Count,Weather,Population_Density
2025-11-20,22:26,22,Thursday,4,November,11,12.956594,77.69554,Marathahalli,Robbery,6,Partly Cloudy,Medium
2026-05-10,23:42,23,Sunday,7,May,5,12.999909,77.57212,Malleshwaram,Assault,7,Rainy,Medium
2026-02-27,07:13,7,Friday,5,February,2,12.928983,77.624257,Koramangala,Robbery,6,Partly Cloudy,High
2026-11-19,13:01,13,Thursday,4,November,11,12.93616,77.625776,Koramangala,Burglary,3,Partly Cloudy,High
2025-07-09,09:01,9,Wednesday,3,July,7,12.953898,77.697707,Marathahalli,Accident,1,Sunny,Medium
2026-09-10,06:07,6,Thursday,4,September,9,12.97096,77.635854,Indiranagar,Missing Person,4,Rainy,Medium
2026-03-25,19:35,19,Wednesday,3,March,3,12.920431,77.546158,Banashankari,Burglary,4,Rainy,High
2025-03-29,08:59,8,Saturday,6,March,3,12.913272,77.609782,BTM Layout,Burglary,2,Partly Cloudy,Medium
2026-01-08,03:01,3,Thursday,4,January,1,12.998231,77.571132,Malleshwaram,Vehicle Theft,9,Partly Cloudy,High
2025-06-07,14:57,14,Saturday,6,June,6,12.915517,77.489919,Kengeri,Vandalism,6,Sunny,High
2026-06-19,18:41,18,Friday,5,June,6,12.928053,77.554372,Banashankari,Burglary,3,Sunny,Low
2025-12-21,13:02,13,Sunday,7,December,12,12.930834,77.594165,Jayanagar,Fraud,5,Cloudy,Low
2026-06-10,15:54,15,Wednesday,3,June,6,12.977566,77.754527,Whitefield,Robbery,9,Cloudy,Very High
2025-01-30,04:07,4,Thursday,4,January,1,12.917021,77.478796,Kengeri,Robbery,5,Sunny,Low
2025-03-11,20:40,20,Tuesday,2,March,3,12.935985,77.577844,Basavanagudi,Accident,5,Sunny,Medium
2025-11-19,14:19,14,Wednesday,3,November,11,12.9132,77.640989,HSR Layout,Cyber Crime,2,Partly Cloudy,Low
2025-08-06,07:58,7,Wednesday,3,August,8,13.007224,77.571663,Malleshwaram,Missing Person,6,Partly Cloudy,Very High
2026-02-27,09:28,9,Friday,5,February,2,13.006461,77.573349,Malleshwaram,Missing Person,3,Cloudy,Medium
2026-12-26,02:40,2,Saturday,6,December,12,12.983404,77.64098,Indiranagar,Cyber Crime,6,Rainy,Medium
2026-06-25,23:53,23,Thursday,4,June,6,12.919178,77.550557,Banashankari,Accident,7,Sunny,Medium
2025-03-15,06:54,6,Saturday,6,March,3,12.9349,77.617253,Koramangala,Assault,7,Rainy,Low
2026-06-28,20:52,20,Sunday,7,June,6,12.919494,77.612068,BTM Layout,Vehicle Theft,12,Cloudy,Very High
2025-11-25,13:33,13,Tuesday,2,November,11,12.906569,77.6314,HSR Layout,Fraud,4,Partly Cloudy,Low
2026-12-28,22:04,22,Monday,1,December,12,12.966017,77.689962,Marathahalli,Vehicle Theft,7,Partly Cloudy,Very High
2025-07-02,08:06,8,Wednesday,3,July,7,12.962578,77.699162,Marathahalli,Vandalism,2,Partly Cloudy,High
2026-05-05,11:10,11,Tuesday,2,May,5,12.917693,77.635117,HSR Layout,Cyber Crime,3,Partly Cloudy,Medium
2025-12-04,00:49,0,Thursday,4,December,12,12.923794,77.60221,BTM Layout,Cyber Crime,4,Rainy,Low
2025-07-10,21:17,21,Thursday,4,July,7,12.943086,77.619277,Koramangala,Cyber Crime,6,Partly Cloudy,Very High
2026-02-16,19:25,19,Monday,1,February,2,12.917953,77.608382,BTM Layout,Fraud,8,Cloudy,Very High
2025-07-09,00:13,0,Wednesday,3,July,7,12.932737,77.629127,Koramangala,Fraud,7,Rainy,Low
2025-07-21,21:28,21,Monday,1,July,7,12.942121,77.569818,Basavanagudi,Vandalism,6,Partly Cloudy,Low
2026-05-17,19:04,19,Sunday,7,May,5,13.005585,77.563304,Malleshwaram,Robbery,6,Sunny,Medium
2025-08-15,15:11,15,Friday,5,August,8,12.921313,77.485516,Kengeri,Fraud,5,Sunny,Medium
2026-12-12,00:56,0,Saturday,6,December,12,12.976092,77.745559,Whitefield,Robbery,5,Cloudy,Low
2025-07-05,02:23,2,Saturday,6,July,7,12.930306,77.62848,Koramangala,Assault,8,Partly Cloudy,High
2025-10-24,23:56,23,Friday,5,October,10,12.978193,77.64332,Indiranagar,Vehicle Theft,12,Partly Cloudy,Very High
2025-08-10,15:12,15,Sunday,7,August,8,12.92571,77.552884,Banashankari,Cyber Crime,3,Sunny,Medium
2025-02-28,09:41,9,Friday,5,February,2,13.034725,77.596804,Hebbal,Cyber Crime,6,Rainy,Very High
2025-06-06,07:11,7,Friday,5,June,6,12.952682,77.701293,Marathahalli,Burglary,7,Rainy,High
2026-06-30,04:11,4,Tuesday,2,June,6,12.83816,77.655481,Electronic City,Vehicle Theft,7,Partly Cloudy,High
2026-11-30,02:28,2,Monday,1,November,11,13.034166,77.598863,Hebbal,Burglary,9,Rainy,Medium
2025-08-18,07:33,7,Monday,1,August,8,12.934597,77.630831,Koramangala,Assault,4,Cloudy,High
2025-01-01,23:25,23,Wednesday,3,January,1,12.966605,77.743018,Whitefield,Robbery,2,Sunny,Low
2025-02-18,06:58,6,Tuesday,2,February,2,13.025496,77.532883,Yeshwanthpur,Cyber Crime,2,Cloudy,Medium
2025-02-10,04:46,4,Monday,1,February,2,13.027867,77.59832,Hebbal,Theft,12,Rainy,High
2026-09-26,17:36,17,Saturday,6,September,9,12.98089,77.648195,Indiranagar,Accident,3,Partly Cloudy,Low
2025-04-30,17:48,17,Wednesday,3,April,4,13.028441,77.603633,Hebbal,Theft,9,Partly Cloudy,High
2026-12-09,01:34,1,Wednesday,3,December,12,12.971631,77.756273,Whitefield,Robbery,11,Rainy,Very High
2025-07-10,02:50,2,Thursday,4,July,7,12.917989,77.643652,HSR Layout,Theft,9,Cloudy,High
2025-06-07,17:50,17,Saturday,6,June,6,13.040926,77.589041,Hebbal,Assault,1,Sunny,Low
2026-11-30,07:12,7,Monday,1,November,11,12.978145,77.644951,Indiranagar,Robbery,1,Partly Cloudy,Low
2026-03-15,21:54,21,Sunday,7,March,3,12.908843,77.607294,BTM Layout,Burglary,9,Partly Cloudy,High
2025-05-18,23:26,23,Sunday,7,May,5,13.022654,77.532732,Yeshwanthpur,Vandalism,6,Rainy,Medium
2026-10-21,11:40,11,Wednesday,3,October,10,12.918308,77.551402,Banashankari,Missing Person,1,Partly Cloudy,Low
2026-10-25,00:22,0,Sunday,7,October,10,12.906341,77.635548,HSR Layout,Accident,8,Rainy,High
2025-10-28,22:31,22,Tuesday,2,October,10,12.996387,77.576937,Malleshwaram,Cyber Crime,2,Cloudy,Medium
2025-12-24,05:06,5,Wednesday,3,December,12,12.916218,77.640995,HSR Layout,Robbery,3,Sunny,High
2025-10-30,10:09,10,Thursday,4,October,10,12.914101,77.478374,Kengeri,Cyber Crime,3,Partly Cloudy,Low
2025-06-10,04:48,4,Tuesday,2,June,6,13.04342,77.602546,Hebbal,Assault,7,Cloudy,Very High
2025-03-12,19:50,19,Wednesday,3,March,3,12.939784,77.571729,Basavanagudi,Vandalism,6,Sunny,Very High
2025-02-12,11:55,11,Wednesday,3,February,2,12.971766,77.745301,Whitefield,Cyber Crime,8,Rainy,Very High
2025-05-10,23:35,23,Saturday,6,May,5,12.921982,77.611063,BTM Layout,Cyber Crime,5,Partly Cloudy,Low
2025-02-05,21:20,21,Wednesday,3,February,2,12.910284,77.481133,Kengeri,Vandalism,4,Cloudy,Medium
2026-06-04,01:56,1,Thursday,4,June,6,12.918114,77.48303,Kengeri,Vehicle Theft,6,Cloudy,Low
2026-04-30,10:44,10,Thursday,4,April,4,13.033915,77.591894,Hebbal,Vehicle Theft,2,Rainy,Low
2025-02-11,17:07,17,Tuesday,2,February,2,13.023046,77.535625,Yeshwanthpur,Theft,2,Partly Cloudy,High
2026-05-06,00:07,0,Wednesday,3,May,5,12.972632,77.647157,Indiranagar,Fraud,9,Partly Cloudy,High
2026-06-28,06:12,6,Sunday,7,June,6,12.920929,77.590645,Jayanagar,Missing Person,6,Sunny,Low
2026-06-15,11:28,11,Monday,1,June,6,12.995524,77.576003,Malleshwaram,Theft,6,Partly Cloudy,Very High
2026-04-22,12:25,12,Wednesday,3,April,4,12.911991,77.646494,HSR Layout,Theft,4,Sunny,Very High
2026-04-16,05:12,5,Thursday,4,April,4,12.998311,77.556071,Rajajinagar,Burglary,4,Partly Cloudy,High
2026-04-11,10:24,10,Saturday,6,April,4,12.940752,77.5827,Basavanagudi,Burglary,5,Rainy,Very High
2026-09-25,02:04,2,Friday,5,September,9,12.932785,77.624414,Koramangala,Missing Person,10,Cloudy,Very High
2026-01-05,15:36,15,Monday,1,January,1,13.004825,77.573627,Malleshwaram,Theft,6,Partly Cloudy,Low
2026-12-26,03:26,3,Saturday,6,December,12,12.914287,77.640266,HSR Layout,Fraud,6,Partly Cloudy,Medium
2026-08-19,10:17,10,Wednesday,3,August,8,12.977432,77.633111,Indiranagar,Burglary,3,Sunny,Low
2026-11-27,03:16,3,Friday,5,November,11,12.912983,77.638715,HSR Layout,Vandalism,10,Cloudy,Very High
2026-07-01,02:46,2,Wednesday,3,July,7,13.004535,77.573457,Malleshwaram,Burglary,3,Rainy,Low
2025-01-01,21:07,21,Wednesday,3,January,1,12.955909,77.703568,Marathahalli,Burglary,11,Partly Cloudy,Very High
2026-12-08,21:37,21,Tuesday,2,December,12,12.928248,77.622107,Koramangala,Missing Person,7,Partly Cloudy,High
2025-07-08,17:48,17,Tuesday,2,July,7,12.913158,77.602975,BTM Layout,Vandalism,5,Sunny,High
2025-07-04,23:53,23,Friday,5,July,7,12.989394,77.557132,Rajajinagar,Vehicle Theft,11,Partly Cloudy,Very High
2025-07-09,01:59,1,Wednesday,3,July,7,13.03734,77.597088,Hebbal,Missing Person,4,Cloudy,Medium
2025-08-29,09:12,9,Friday,5,August,8,12.920368,77.586182,Jayanagar,Cyber Crime,5,Sunny,Very High
2026-11-23,15:41,15,Monday,1,November,11,12.921164,77.474645,Kengeri,Missing Person,1,Sunny,Medium
2025-02-08,23:35,23,Saturday,6,February,2,13.033254,77.592839,Hebbal,Vehicle Theft,11,Partly Cloudy,High
2025-08-17,15:36,15,Sunday,7,August,8,12.988818,77.548397,Rajajinagar,Burglary,5,Cloudy,Low
2025-07-29,08:11,8,Tuesday,2,July,7,12.921198,77.549789,Banashankari,Robbery,4,Cloudy,Low
2026-11-16,09:41,9,Monday,1,November,11,12.998451,77.558439,Rajajinagar,Assault,3,Rainy,High
2026-07-27,16:20,16,Monday,1,July,7,13.042594,77.592021,Hebbal,Vehicle Theft,5,Rainy,Low
2026-08-12,12:41,12,Wednesday,3,August,8,12.911478,77.640726,HSR Layout,Fraud,3,Cloudy,Low
2026-05-17,01:13,1,Sunday,7,May,5,12.909301,77.631899,HSR Layout,Assault,8,Cloudy,Medium
2026-12-23,01:05,1,Wednesday,3,December,12,12.96063,77.693675,Marathahalli,Vandalism,5,Sunny,Low
2026-09-22,08:33,8,Tuesday,2,September,9,13.031845,77.589867,Hebbal,Theft,4,Rainy,Low
2025-07-08,01:09,1,Tuesday,2,July,7,12.937874,77.568507,Basavanagudi,Vandalism,3,Partly Cloudy,Low
2026-09-30,15:54,15,Wednesday,3,September,9,12.94955,77.580658,Basavanagudi,Vehicle Theft,7,Cloudy,High
2026-04-01,13:33,13,Wednesday,3,April,4,12.979358,77.644578,Indiranagar,Accident,8,Rainy,Very High
2025-06-20,02:28,2,Friday,5,June,6,12.9825,77.64104,Indiranagar,Missing Person,9,Rainy,Medium
2026-03-17,00:11,0,Tuesday,2,March,3,12.932218,77.550661,Banashankari,Vehicle Theft,7,Cloudy,Low
2026-03-02,23:44,23,Monday,1,March,3,12.924568,77.592484,Jayanagar,Accident,9,Partly Cloudy,High
2025-09-10,15:19,15,Wednesday,3,September,9,12.94057,77.631911,Koramangala,Theft,4,Partly Cloudy,High
2025-12-21,01:45,1,Sunday,7,December,12,12.974238,77.645943,Indiranagar,Missing Person,10,Partly Cloudy,Very High
2025-09-11,01:31,1,Thursday,4,September,9,12.965468,77.70151,Marathahalli,Burglary,9,Rainy,High
2025-11-08,18:09,18,Saturday,6,November,11,12.909391,77.639555,HSR Layout,Cyber Crime,7,Rainy,Very High
2026-07-18,03:25,3,Saturday,6,July,7,12.918632,77.545759,Banashankari,Fraud,9,Cloudy,Low
2026-06-27,18:18,18,Saturday,6,June,6,12.931279,77.597374,Jayanagar,Robbery,5,Cloudy,Medium
2025-11-22,12:02,12,Saturday,6,November,11,12.934334,77.571619,Basavanagudi,Assault,5,Cloudy,High
2026-09-05,05:04,5,Saturday,6,September,9,12.964905,77.750631,Whitefield,Accident,9,Rainy,Very High
2025-02-03,16:27,16,Monday,1,February,2,12.924494,77.601496,Jayanagar,Theft,4,Partly Cloudy,Medium
2026-11-05,16:40,16,Thursday,4,November,11,13.023226,77.540585,Yeshwanthpur,Burglary,4,Sunny,Medium
2026-07-26,03:34,3,Sunday,7,July,7,12.94182,77.62293,Koramangala,Fraud,12,Partly Cloudy,High
2026-03-14,01:19,1,Saturday,6,March,3,12.926657,77.542136,Banashankari,Cyber Crime,8,Rainy,Medium
2026-02-17,22:44,22,Tuesday,2,February,2,12.906416,77.478439,Kengeri,Assault,2,Partly Cloudy,Low
2026-08-04,15:40,15,Tuesday,2,August,8,12.982696,77.645222,Indiranagar,Cyber Crime,4,Partly Cloudy,Low
2025-09-27,10:42,10,Saturday,6,September,9,13.022888,77.539264,Yeshwanthpur,Robbery,3,Sunny,High
2025-10-09,21:32,21,Thursday,4,October,10,12.927305,77.590891,Jayanagar,Missing Person,3,Partly Cloudy,Low
2026-08-22,16:34,16,Saturday,6,August,8,12.921744,77.552638,Banashankari,Fraud,6,Rainy,Low
2025-02-18,01:27,1,Tuesday,2,February,2,12.937795,77.630453,Koramangala,Vandalism,9,Cloudy,Medium
2025-05-13,09:28,9,Tuesday,2,May,5,13.002994,77.57272,Malleshwaram,Fraud,4,Rainy,Low
2026-04-13,21:27,21,Monday,1,April,4,12.965688,77.746408,Whitefield,Vandalism,8,Cloudy,High
2025-06-21,14:53,14,Saturday,6,June,6,12.930814,77.546608,Banashankari,Assault,8,Cloudy,Very High
2025-06-25,14:48,14,Wednesday,3,June,6,13.041692,77.603073,Hebbal,Vandalism,7,Cloudy,High
2026-11-07,09:44,9,Saturday,6,November,11,13.035475,77.601996,Hebbal,Vandalism,5,Partly Cloudy,High
2026-03-02,18:57,18,Monday,1,March,3,13.036288,77.604889,Hebbal,Missing Person,4,Cloudy,Low
2025-11-20,15:49,15,Thursday,4,November,11,12.839442,77.661657,Electronic City,Vandalism,6,Cloudy,High
2026-06-03,09:57,9,Wednesday,3,June,6,12.966008,77.742348,Whitefield,Missing Person,5,Partly Cloudy,Medium
2025-12-07,10:20,10,Sunday,7,December,12,12.964164,77.700975,Marathahalli,Vehicle Theft,8,Sunny,High
2025-12-19,13:39,13,Friday,5,December,12,12.923906,77.552043,Banashankari,Vehicle Theft,4,Rainy,High
2026-08-28,16:24,16,Friday,5,August,8,13.010872,77.572933,Malleshwaram,Vehicle Theft,3,Rainy,Medium
2026-12-05,09:46,9,Saturday,6,December,12,12.850311,77.668005,Electronic City,Fraud,5,Rainy,High
2025-10-24,19:31,19,Friday,5,October,10,13.036959,77.600492,Hebbal,Cyber Crime,5,Sunny,High
2026-05-12,13:25,13,Tuesday,2,May,5,12.940338,77.621463,Koramangala,Vandalism,4,Sunny,Low
2025-04-09,14:35,14,Wednesday,3,April,4,12.922767,77.590139,Jayanagar,Robbery,7,Cloudy,Very High
2025-10-14,11:56,11,Tuesday,2,October,10,12.928778,77.623552,Koramangala,Cyber Crime,2,Rainy,Low
2025-10-06,22:09,22,Monday,1,October,10,12.979562,77.641776,Indiranagar,Robbery,5,Cloudy,Medium
2025-10-22,00:34,0,Wednesday,3,October,10,12.921959,77.602869,BTM Layout,Assault,10,Rainy,High
2026-09-20,09:50,9,Sunday,7,September,9,12.975314,77.643215,Indiranagar,Fraud,6,Cloudy,Medium
2026-12-01,17:10,17,Tuesday,2,December,12,13.035889,77.545625,Yeshwanthpur,Vehicle Theft,10,Rainy,Very High
2026-11-07,22:57,22,Saturday,6,November,11,12.978163,77.642915,Indiranagar,Theft,9,Sunny,Medium
2026-04-23,21:30,21,Thursday,4,April,4,12.919976,77.483144,Kengeri,Assault,8,Partly Cloudy,Medium
2026-01-11,07:52,7,Sunday,7,January,1,12.917754,77.598967,Jayanagar,Accident,6,Sunny,Very High
2025-06-13,01:27,1,Friday,5,June,6,12.931051,77.599324,Jayanagar,Vehicle Theft,10,Sunny,Very High
2025-09-26,20:05,20,Friday,5,September,9,12.992539,77.561175,Rajajinagar,Robbery,11,Cloudy,Very High
2026-03-15,17:48,17,Sunday,7,March,3,13.033632,77.533945,Yeshwanthpur,Burglary,4,Rainy,Low
2026-01-15,03:52,3,Thursday,4,January,1,12.989981,77.559686,Rajajinagar,Missing Person,8,Cloudy,Very High
2025-07-12,05:58,5,Saturday,6,July,7,12.956509,77.696622,Marathahalli,Fraud,4,Cloudy,Medium
2026-05-17,07:08,7,Sunday,7,May,5,12.97418,77.644648,Indiranagar,Theft,5,Sunny,High
2025-05-28,10:45,10,Wednesday,3,May,5,12.931146,77.589505,Jayanagar,Vehicle Theft,5,Rainy,High
2026-07-24,11:00,11,Friday,5,July,7,12.966794,77.694472,Marathahalli,Vehicle Theft,7,Rainy,High
2026-06-18,23:20,23,Thursday,4,June,6,12.915362,77.631297,HSR Layout,Accident,8,Rainy,Low
2026-01-19,18:55,18,Monday,1,January,1,12.978674,77.637678,Indiranagar,Vehicle Theft,7,Partly Cloudy,High
2026-10-07,11:24,11,Wednesday,3,October,10,13.001731,77.572526,Malleshwaram,Vandalism,5,Cloudy,Low
2025-11-22,12:07,12,Saturday,6,November,11,12.850598,77.662571,Electronic City,Accident,5,Partly Cloudy,Medium
2025-08-27,08:54,8,Wednesday,3,August,8,12.848342,77.653546,Electronic City,Assault,1,Sunny,Medium
2025-05-08,21:36,21,Thursday,4,May,5,12.934756,77.581541,Basavanagudi,Cyber Crime,3,Partly Cloudy,Medium
2025-11-14,14:40,14,Friday,5,November,11,12.963964,77.696246,Marathahalli,Missing Person,2,Sunny,Low
2025-10-14,03:01,3,Tuesday,2,October,10,13.029365,77.546019,Yeshwanthpur,Fraud,5,Partly Cloudy,Very High
2026-04-30,06:37,6,Thursday,4,April,4,12.917518,77.64251,HSR Layout,Vandalism,1,Sunny,Medium
2025-03-21,18:00,18,Friday,5,March,3,12.997203,77.563938,Malleshwaram,Burglary,8,Sunny,Very High
2025-07-15,00:37,0,Tuesday,2,July,7,12.85083,77.662986,Electronic City,Burglary,4,Sunny,Low
2025-06-28,17:26,17,Saturday,6,June,6,12.980807,77.646795,Indiranagar,Fraud,4,Rainy,High
2026-01-30,03:56,3,Friday,5,January,1,12.981846,77.641541,Indiranagar,Robbery,9,Rainy,Low
2025-09-12,23:59,23,Friday,5,September,9,12.919116,77.486936,Kengeri,Assault,4,Rainy,Low
2025-03-25,20:56,20,Tuesday,2,March,3,12.927759,77.627511,Koramangala,Cyber Crime,7,Cloudy,Very High
2026-06-02,11:29,11,Tuesday,2,June,6,12.920786,77.605651,BTM Layout,Theft,3,Partly Cloudy,High
2026-07-15,15:25,15,Wednesday,3,July,7,12.963813,77.749544,Whitefield,Vandalism,4,Sunny,Medium
2025-06-18,18:35,18,Wednesday,3,June,6,12.961485,77.690819,Marathahalli,Robbery,3,Sunny,High
2025-05-24,22:44,22,Saturday,6,May,5,12.931829,77.622704,Koramangala,Cyber Crime,5,Cloudy,Medium
2026-02-06,10:44,10,Friday,5,February,2,12.927106,77.550909,Banashankari,Theft,9,Sunny,Very High
2026-11-01,06:35,6,Sunday,7,November,11,12.932405,77.61788,Koramangala,Cyber Crime,2,Cloudy,Low
2025-07-29,04:13,4,Tuesday,2,July,7,12.980121,77.647663,Indiranagar,Fraud,7,Cloudy,Low
2026-06-30,09:17,9,Tuesday,2,June,6,12.942562,77.570237,Basavanagudi,Burglary,6,Partly Cloudy,Very High
2025-06-29,20:29,20,Sunday,7,June,6,12.844263,77.66583,Electronic City,Theft,9,Partly Cloudy,Very High
2025-12-10,05:54,5,Wednesday,3,December,12,13.038237,77.595575,Hebbal,Burglary,7,Rainy,Very High
2026-02-08,04:16,4,Sunday,7,February,2,12.976047,77.757793,Whitefield,Accident,6,Partly Cloudy,Very High
2025-09-06,21:04,21,Saturday,6,September,9,12.972407,77.742956,Whitefield,Missing Person,11,Cloudy,Very High
2026-05-01,23:16,23,Friday,5,May,5,12.989092,77.551448,Rajajinagar,Accident,8,Cloudy,Very High
2025-01-19,16:49,16,Sunday,7,January,1,12.941518,77.624271,Koramangala,Burglary,7,Sunny,Very High
2025-01-07,10:03,10,Tuesday,2,January,1,13.041358,77.600465,Hebbal,Vandalism,6,Sunny,Very High
2025-08-15,18:52,18,Friday,5,August,8,12.930575,77.62524,Koramangala,Theft,2,Rainy,Medium
2025-01-16,15:37,15,Thursday,4,January,1,12.940653,77.623699,Koramangala,Accident,4,Sunny,Very High
2025-01-14,03:47,3,Tuesday,2,January,1,13.03562,77.544771,Yeshwanthpur,Missing Person,6,Cloudy,High
2025-03-26,11:34,11,Wednesday,3,March,3,12.921291,77.601159,Jayanagar,Burglary,6,Sunny,High
2025-09-18,14:11,14,Thursday,4,September,9,13.002952,77.572749,Malleshwaram,Cyber Crime,7,Partly Cloudy,High
2025-09-25,17:09,17,Thursday,4,September,9,13.030737,77.544589,Yeshwanthpur,Assault,6,Rainy,Very High
2025-02-10,21:50,21,Monday,1,February,2,12.914249,77.60225,BTM Layout,Accident,3,Sunny,Low
2026-03-29,14:38,14,Sunday,7,March,3,12.969229,77.752071,Whitefield,Accident,5,Cloudy,Medium
2026-06-01,23:49,23,Monday,1,June,6,12.932134,77.59815,Jayanagar,Missing Person,6,Sunny,Very High
2025-11-12,22:07,22,Wednesday,3,November,11,12.961319,77.694588,Marathahalli,Theft,8,Rainy,Low
2025-12-10,13:36,13,Wednesday,3,December,12,13.025254,77.532981,Yeshwanthpur,Accident,2,Rainy,Low
2025-09-12,18:15,18,Friday,5,September,9,12.947279,77.572226,Basavanagudi,Cyber Crime,1,Rainy,Low
2025-11-01,07:50,7,Saturday,6,November,11,12.909317,77.486351,Kengeri,Cyber Crime,6,Rainy,Very High
2026-06-03,16:45,16,Wednesday,3,June,6,12.844215,77.667819,Electronic City,Theft,7,Sunny,Very High
2026-12-21,04:15,4,Monday,1,December,12,12.917084,77.60612,BTM Layout,Robbery,4,Sunny,Medium
2025-06-08,15:57,15,Sunday,7,June,6,12.926329,77.542321,Banashankari,Missing Person,5,Cloudy,High
2026-02-22,14:53,14,Sunday,7,February,2,12.912704,77.611287,BTM Layout,Assault,6,Sunny,Very High
2025-10-05,01:27,1,Sunday,7,October,10,12.931354,77.62672,Koramangala,Robbery,4,Rainy,Medium
2026-07-15,14:22,14,Wednesday,3,July,7,12.979278,77.639718,Indiranagar,Fraud,4,Cloudy,High
2025-03-21,10:04,10,Friday,5,March,3,12.998107,77.570736,Malleshwaram,Burglary,7,Partly Cloudy,Very High
2025-11-01,08:02,8,Saturday,6,November,11,12.986357,77.551997,Rajajinagar,Fraud,11,Rainy,Very High
2025-04-30,04:10,4,Wednesday,3,April,4,12.845805,77.654679,Electronic City,Theft,10,Partly Cloudy,Low
2026-10-25,07:51,7,Sunday,7,October,10,12.849794,77.654596,Electronic City,Vandalism,3,Sunny,Medium
2025-11-13,06:42,6,Thursday,4,November,11,12.967426,77.74527,Whitefield,Theft,5,Partly Cloudy,Medium
2025-02-09,05:51,5,Sunday,7,February,2,12.985693,77.635332,Indiranagar,Burglary,3,Rainy,Medium
2026-05-04,21:33,21,Monday,1,May,5,12.90652,77.634117,HSR Layout,Burglary,8,Sunny,Very High
2026-05-19,20:44,20,Tuesday,2,May,5,12.946275,77.571221,Basavanagudi,Missing Person,8,Cloudy,Medium
2025-11-19,06:59,6,Wednesday,3,November,11,12.939571,77.575525,Basavanagudi,Theft,6,Sunny,Low
2026-08-06,10:15,10,Thursday,4,August,8,12.994237,77.562803,Rajajinagar,Robbery,1,Cloudy,Low
2026-03-27,15:04,15,Friday,5,March,3,12.944684,77.574323,Basavanagudi,Accident,6,Sunny,Very High
2026-05-06,04:37,4,Wednesday,3,May,5,12.942912,77.580815,Basavanagudi,Assault,6,Sunny,High
2025-08-13,02:18,2,Wednesday,3,August,8,12.910958,77.482968,Kengeri,Vehicle Theft,7,Sunny,Low
2025-12-18,08:18,8,Thursday,4,December,12,12.991408,77.557233,Rajajinagar,Robbery,3,Sunny,Medium
